move,board_state,player
4-i,______________________________________#___,@
5-i,_______________________________@______#___,#
4-i,_______________________________@______##__,@
3-i,________________________@______@______##__,#
4-i,________________________@______@_____###__,@
4-i,_________________@______@______@_____###__,#
3-i,__________#______@______@______@_____###__,@
7-i,__________#______@______@_____@@_____###__,#
5-i,__________#______@______@_____@@_____###_#,@
5-i,__________#______@______@_____@@@____###_#,#
2-i,__________#______@______@#____@@@____###_#,@
5-i,__________#______@______@#____@@@___@###_#,#
3-i,__________#______@#_____@#____@@@___@###_#,@
5-i,__________#______@#____@@#____@@@___@###_#,#
3-i,__________##_____@#____@@#____@@@___@###_#,@
2-i,__________##____@@#____@@#____@@@___@###_#,#
2-p,__________##____@@#____@@#___#@@@___@###_#,@
5-i,__________________________________________,#
5-i,_______________________________________#__,@
4-i,________________________________@______#__,#
5-i,________________________________@_____##__,@
5-i,_________________________@______@_____##__,#
4-i,__________________#______@______@_____##__,@
3-i,__________________#______@_____@@_____##__,#
3-i,__________________#______@_____@@____###__,@
7-i,__________________#______@____@@@____###__,#
6-i,__________________#______@____@@@____###_#,@
4-i,__________________#______@____@@@____###@#,#
7-i,__________________#_____#@____@@@____###@#,@
4-i,__________________#_____#@____@@@_@__###@#,#
2-i,_________________##_____#@____@@@_@__###@#,@
4-i,_________________##_____#@____@@@_@_@###@#,#
3-i,__________#______##_____#@____@@@_@_@###@#,@
5-p,__________#______##____@#@____@@@_@_@###@#,#
3-i,__________#______#_____@##____@@@_@_@##@@#,@
3-i,__________#_____@#_____@##____@@@_@_@##@@#,#
7-i,_________##_____@#_____@##____@@@_@_@##@@#,@
6-i,_________##_____@#_____@##_@__@@@_@_@##@@#,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
4-i,_________________@______@______@_____###__,#
3-i,__________#______@______@______@_____###__,@
7-i,__________#______@______@_____@@_____###__,#
5-i,__________#______@______@_____@@_____###_#,@
1-i,__________#______@______@_____@@@____###_#,#
6-i,__________#______@______@_____@@@__#_###_#,@
1-i,__________#______@______@_____@@@__#_###@#,#
2-i,__________#______@______@___#_@@@__#_###@#,@
1-i,__________#______@______@___#_@@@__#@###@#,#
1-i,__________#______@___#__@___#_@@@__#@###@#,@
2-i,__________#___@__@___#__@___#_@@@__#@###@#,#
5-i,__________#___@__@___#__@___##@@@__#@###@#,@
2-i,__________#___@__@___#__@@__##@@@__#@###@#,#
5-i,__________#___@__@___##_@@__##@@@__#@###@#,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
4-i,_________________@______@______@_____###__,#
3-i,__________#______@______@______@_____###__,@
7-i,__________#______@______@_____@@_____###__,#
5-i,__________#______@______@_____@@_____###_#,@
1-i,__________#______@______@_____@@@____###_#,#
2-i,__________#______@______@_____@@@__#_###_#,@
3-i,__________#______@______@_____@@@__#@###_#,#
6-i,__________#______@_____#@_____@@@__#@###_#,@
1-i,__________#______@_____#@_____@@@__#@###@#,#
3-i,__________#______@_____#@___#_@@@__#@###@#,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
2-i,________________________@______@_____##___,#
4-i,________________________@______@____###___,@
4-i,_________________@______@______@____###___,#
5-i,__________#______@______@______@____###___,@
2-i,__________#______@______@______@____###@__,#
5-i,__________#______@______@____#_@____###@__,@
2-i,__________#______@______@____#_@@___###@__,#
2-i,__________#______@____#_@____#_@@___###@__,@
1-i,__________#____@_@____#_@____#_@@___###@__,#
3-i,__________#____@_@____#_@____#_@@__####@__,@
3-i,__________#____@_@____#_@____#@@@__####@__,#
3-i,__________#____@_@____##@____#@@@__####@__,@
1-i,__________#____@@@____##@____#@@@__####@__,#
5-i,__________#____@@@____##@___##@@@__####@__,@
1-i,__________#____@@@____##@@__##@@@__####@__,#
1-i,__________#____@@@___###@@__##@@@__####@__,@
4-p,__________#___@@@@___###@@__##@@@__####@__,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
2-i,________________________@______@_____##___,#
4-i,________________________@______@____###___,@
4-i,_________________@______@______@____###___,#
5-i,__________#______@______@______@____###___,@
3-i,__________#______@______@______@____###@__,#
3-i,__________#______@______@_____#@____###@__,@
1-i,__________#______@_____@@_____#@____###@__,#
2-i,__________#______@_____@@_____#@___####@__,@
1-i,__________#______@_____@@____@#@___####@__,#
2-i,__________#______@_____@@___#@#@___####@__,@
2-i,__________#______@____@@@___#@#@___####@__,#
5-i,__________#____#_@____@@@___#@#@___####@__,@
1-i,__________#____#_@____@@@___#@#@@__####@__,#
5-i,__________#____#_@___#@@@___#@#@@__####@__,@
5-i,__________#____#_@___#@@@@__#@#@@__####@__,#
3-i,__________#____#_@#__#@@@@__#@#@@__####@__,@
1-i,__________#____#@@#__#@@@@__#@#@@__####@__,#
5-i,__________________________________________,#
4-i,_______________________________________#__,@
4-i,______________________________________@#__,#
5-i,_______________________________#______@#__,@
4-i,_______________________________#@_____@#__,#
4-i,________________________#______#@_____@#__,@
3-i,_________________@______#______#@_____@#__,#
3-i,_________________@______#______#@____#@#__,@
5-i,_________________@______#_____@#@____#@#__,#
3-i,_________________@______##____@#@____#@#__,@
3-i,_________________@_____@##____@#@____#@#__,#
1-i,________________#@_____@##____@#@____#@#__,@
5-i,________________#@_____@##____@#@__@_#@#__,#
2-i,________________#@#____@##____@#@__@_#@#__,@
6-i,________________#@#____@##____@#@__@@#@#__,#
2-i,________________#@#____@##____@#@__@@#@##_,@
3-i,__________________________________________,#
3-i,_____________________________________#____,@
4-i,______________________________@______#____,#
4-i,______________________________@______##___,@
5-i,______________________________@@_____##___,#
5-i,______________________________@@_____###__,@
7-i,______________________________@@@____###__,#
4-i,______________________________@@@____###_#,@
1-i,________________________@_____@@@____###_#,#
4-i,________________________@_____@@@__#_###_#,@
4-i,_________________@______@_____@@@__#_###_#,#
6-i,__________#______@______@_____@@@__#_###_#,@
1-i,__________#______@______@_____@@@__#_###@#,#
2-i,__________#______@______@___#_@@@__#_###@#,@
1-i,__________#______@______@___#_@@@__#@###@#,#
1-i,__________#______@___#__@___#_@@@__#@###@#,@
2-i,__________#___@__@___#__@___#_@@@__#@###@#,#
5-i,__________#___@__@___#__@___##@@@__#@###@#,@
2-i,__________#___@__@___#__@@__##@@@__#@###@#,#
5-i,__________#___@__@___##_@@__##@@@__#@###@#,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
2-i,________________________@______@_____##___,#
4-i,________________________@______@____###___,@
4-i,_________________@______@______@____###___,#
5-i,__________#______@______@______@____###___,@
3-i,__________#______@______@______@____###@__,#
3-i,__________#______@______@_____#@____###@__,@
1-i,__________#______@_____@@_____#@____###@__,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
4-i,_________________@______@______@_____###__,#
3-i,__________#______@______@______@_____###__,@
5-i,__________#______@______@_____@@_____###__,#
2-i,__________#______@______@_____@@#____###__,@
5-i,__________#______@______@_____@@#___@###__,#
2-i,__________#______@______@#____@@#___@###__,@
7-i,__________#______@______@#___@@@#___@###__,#
2-i,__________#______@______@#___@@@#___@###_#,@
3-p,__________#______@____@_@#___@@@#___@###_#,#
5-i,__________#______@____@_@#___@_@#___@@##_#,@
6-i,__________#______@@___@_@#___@_@#___@@##_#,#
5-i,__________#______@@___@_@#___@_@#___@@####,@
3-i,__________#@_____@@___@_@#___@_@#___@@####,#
2-i,__________#@_____@@___@_@#___@#@#___@@####,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
4-i,________________________@______@_____##___,#
5-i,_________________#______@______@_____##___,@
1-i,_________________#______@______@_____##@__,#
5-i,_________________#______@______@___#_##@__,@
3-i,_________________#______@______@@__#_##@__,#
5-i,_________________#______@_____#@@__#_##@__,@
5-i,_________________#______@@____#@@__#_##@__,#
3-i,_________________##_____@@____#@@__#_##@__,@
2-i,_________________##____@@@____#@@__#_##@__,#
2-i,_________________##____@@@____#@@__####@__,@
1-i,_________________##____@@@___@#@@__####@__,#
3-i,_________________##____@@@__#@#@@__####@__,@
1-i,________________@##____@@@__#@#@@__####@__,#
2-i,________________@##__#_@@@__#@#@@__####@__,@
4-i,________________@##__#@@@@__#@#@@__####@__,#
1-i,__________#_____@##__#@@@@__#@#@@__####@__,@
6-i,__________#___@_@##__#@@@@__#@#@@__####@__,#
3-i,__________#___@_@##__#@@@@__#@#@@__####@#_,@
7-i,_________@#___@_@##__#@@@@__#@#@@__####@#_,#
7-i,_________@#___@_@##__#@@@@__#@#@@__####@##,@
7-p,_________@#___@_@##__#@@@@__#@#@@_@####@##,#
7-p,_________@#___@_@##__#@@@@__#@#@@__####@#@,@
1-p,_________@#___@_@##__#@@@@__#@#@@__####@#_,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
7-i,_________________@______@______@_____###__,#
6-i,_________________@______@______@_____###_#,@
4-i,_________________@______@______@_____###@#,#
6-i,__________#______@______@______@_____###@#,@
3-i,__________#______@______@______@_@___###@#,#
6-i,__________#______@______@_____#@_@___###@#,@
3-i,__________#______@______@_@___#@_@___###@#,#
3-i,__________#______@_____#@_@___#@_@___###@#,@
2-i,__________#_____@@_____#@_@___#@_@___###@#,#
3-i,__________________________________________,#
4-i,_____________________________________#____,@
4-i,_____________________________________#@___,#
5-i,_______________________________#_____#@___,@
3-i,_______________________________#_____#@@__,#
7-i,______________________________##_____#@@__,@
5-i,______________________________##_____#@@_@,#
7-i,______________________________###____#@@_@,@
3-i,______________________________###_@__#@@_@,#
7-i,_______________________#______###_@__#@@_@,@
6-i,_______________________#___@__###_@__#@@_@,#
4-i,_______________________#___@__###_@__#@@#@,@
7-i,_______________________#@__@__###_@__#@@#@,#
5-i,____________________#__#@__@__###_@__#@@#@,@
3-i,____________________#__#@@_@__###_@__#@@#@,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
2-i,________________________@______@_____##___,#
4-i,________________________@______@____###___,@
4-i,_________________@______@______@____###___,#
2-i,__________#______@______@______@____###___,@
3-i,__________#______@______@____@_@____###___,#
3-i,__________#______@______@____@#@____###___,@
1-i,__________#______@_____@@____@#@____###___,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
5-i,_______________________________@______#___,#
3-i,_______________________________@______##__,@
7-i,_______________________________@_____@##__,#
3-i,_______________________________@_____@##_#,@
5-i,______________________________@@_____@##_#,#
3-i,______________________________@@#____@##_#,@
3-i,_______________________@______@@#____@##_#,#
4-i,________________#______@______@@#____@##_#,@
4-i,________________#______@@_____@@#____@##_#,#
2-i,________________##_____@@_____@@#____@##_#,@
5-i,________________##_____@@_____@@#___@@##_#,#
5-i,________________##_____@@#____@@#___@@##_#,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
2-i,________________________@______@_____##___,#
4-i,________________________@______@____###___,@
2-i,_________________@______@______@____###___,#
5-i,_________________@______@____#_@____###___,@
2-i,_________________@______@____#_@____###@__,#
2-i,_________________@____#_@____#_@____###@__,@
1-i,_______________@_@____#_@____#_@____###@__,#
3-i,_______________@_@____#_@____#_@___####@__,@
3-i,_______________@_@____#_@____#@@___####@__,#
5-i,_______________@_@____##@____#@@___####@__,@
4-i,_______________@_@____##@____#@@@__####@__,#
3-i,__________#____@_@____##@____#@@@__####@__,@
1-i,__________#____@@@____##@____#@@@__####@__,#
5-i,__________#____@@@____##@___##@@@__####@__,@
5-i,__________#____@@@____##@@__##@@@__####@__,#
3-i,__________#____@@@#___##@@__##@@@__####@__,@
4-p,_________@#____@@@#___##@@__##@@@__####@__,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
7-i,_________________@______@______@_____###__,#
3-i,_________________@______@______@_____###_#,@
1-i,_________________@______@_____@@_____###_#,#
5-i,_________________@______@_____@@___#_###_#,@
1-i,_________________@______@_____@@@__#_###_#,#
2-i,_________________@______@___#_@@@__#_###_#,@
1-i,_________________@______@___#_@@@__#@###_#,#
1-i,_________________@___#__@___#_@@@__#@###_#,@
4-i,______________@__@___#__@___#_@@@__#@###_#,#
6-i,__________#___@__@___#__@___#_@@@__#@###_#,@
2-i,__________#___@__@___#__@___#_@@@__#@###@#,#
5-i,__________#___@__@___#__@___##@@@__#@###@#,@
2-i,__________#___@__@___#__@@__##@@@__#@###@#,#
5-i,__________#___@__@___##_@@__##@@@__#@###@#,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
2-i,________________________@______@_____##___,#
4-i,________________________@______@____###___,@
2-i,_________________@______@______@____###___,#
5-i,_________________@______@____#_@____###___,@
2-i,_________________@______@____#_@____###@__,#
2-i,_________________@____#_@____#_@____###@__,@
1-i,_______________@_@____#_@____#_@____###@__,#
3-i,_______________@_@____#_@____#_@___####@__,@
4-i,_______________@_@____#_@____#@@___####@__,#
5-i,__________#____@_@____#_@____#@@___####@__,@
3-i,__________#____@_@____#_@____#@@@__####@__,#
3-i,__________#____@_@____##@____#@@@__####@__,@
1-i,__________#____@@@____##@____#@@@__####@__,#
5-i,__________#____@@@____##@___##@@@__####@__,@
1-i,__________#____@@@____##@@__##@@@__####@__,#
5-i,__________#____@@@___###@@__##@@@__####@__,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
2-i,________________________@______@_____##___,#
4-i,________________________@______@____###___,@
4-i,_________________@______@______@____###___,#
5-i,__________#______@______@______@____###___,@
5-i,__________#______@______@______@____###@__,#
2-i,__________#______@______@______@#___###@__,@
5-i,__________#______@______@____@_@#___###@__,#
3-i,__________#______@______@#___@_@#___###@__,@
5-i,__________#______@______@#___@@@#___###@__,#
1-i,__________#______@#_____@#___@@@#___###@__,@
3-i,__________#______@#_____@#___@@@#__@###@__,#
5-i,__________#______@#____#@#___@@@#__@###@__,@
3-i,__________#@_____@#____#@#___@@@#__@###@__,#
2-i,__________#@____#@#____#@#___@@@#__@###@__,@
3-i,__________#@____#@#___@#@#___@@@#__@###@__,#
2-i,_________##@____#@#___@#@#___@@@#__@###@__,@
2-i,_________##@___@#@#___@#@#___@@@#__@###@__,#
1-i,________###@___@#@#___@#@#___@@@#__@###@__,@
4-p,________###@___@#@#___@#@#__@@@@#__@###@__,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
7-i,_________________@______@______@_____###__,#
6-i,_________________@______@______@_____###_#,@
4-i,_________________@______@______@_____###@#,#
6-i,__________#______@______@______@_____###@#,@
5-i,__________#______@______@______@_@___###@#,#
6-i,__________#______@______@______@#@___###@#,@
5-i,__________#______@______@_@____@#@___###@#,#
5-i,__________#______@______@#@____@#@___###@#,@
2-i,__________#______@@_____@#@____@#@___###@#,#
3-i,__________#______@@_____@#@____@#@__####@#,@
2-i,__________#______@@_____@#@___@@#@__####@#,#
2-i,__________#______@@_____@#@__#@@#@__####@#,@
3-i,__________#______@@___@_@#@__#@@#@__####@#,#
3-i,__________#______@@___@#@#@__#@@#@__####@#,@
7-i,__________#_____@@@___@#@#@__#@@#@__####@#,#
7-i,__________#_____@@@___@#@#@__#@@#@#_####@#,@
6-i,__________#_____@@@___@#@#@@_#@@#@#_####@#,#
5-i,__________#_____@@@#__@#@#@@_#@@#@#_####@#,@
6-i,__________#@____@@@#__@#@#@@_#@@#@#_####@#,#
6-p,__________#@#___@@@#__@#@#@@_#@@#@#_####@#,@
6-i,__________#@____@@@#__@#@##@_#@@#@#_####@#,#
6-p,__________#@#___@@@#__@#@##@_#@@#@#_####@#,@
4-p,__________#@____@@@#__@#@##@_#@@###_####@#,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
1-i,________________________@______@_____##___,#
4-i,________________________@______@___#_##___,@
4-i,_________________@______@______@___#_##___,#
5-i,__________#______@______@______@___#_##___,@
1-i,__________#______@______@______@___#_##@__,#
3-i,__________#______@______@___#__@___#_##@__,@
1-i,__________#______@______@___#_@@___#_##@__,#
5-i,__________#______@___#__@___#_@@___#_##@__,@
7-i,__________#______@___#__@___#_@@@__#_##@__,#
5-i,__________#______@___#__@___#_@@@__#_##@_#,@
5-i,__________#______@___#__@@__#_@@@__#_##@_#,#
2-i,__________#______@#__#__@@__#_@@@__#_##@_#,@
2-i,__________#______@#__#__@@__#_@@@__#@##@_#,#
3-i,__________#______@#__#__@@__##@@@__#@##@_#,@
3-i,__________#______@#__#_@@@__##@@@__#@##@_#,#
2-i,__________#_____#@#__#_@@@__##@@@__#@##@_#,@
4-p,__________#_____#@#__#@@@@__##@@@__#@##@_#,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
7-i,_________________@______@______@_____###__,#
6-i,_________________@______@______@_____###_#,@
4-i,_________________@______@______@_____###@#,#
6-i,__________#______@______@______@_____###@#,@
5-i,__________#______@______@______@_@___###@#,#
6-i,__________#______@______@______@#@___###@#,@
5-i,__________#______@______@_@____@#@___###@#,#
5-i,__________#______@______@#@____@#@___###@#,@
2-i,__________#______@@_____@#@____@#@___###@#,#
3-i,__________#______@@_____@#@____@#@__####@#,@
2-i,__________#______@@_____@#@___@@#@__####@#,#
2-i,__________#______@@_____@#@__#@@#@__####@#,@
3-i,__________#______@@___@_@#@__#@@#@__####@#,#
3-i,__________#______@@___@#@#@__#@@#@__####@#,@
7-i,__________#_____@@@___@#@#@__#@@#@__####@#,#
7-i,__________#_____@@@___@#@#@__#@@#@#_####@#,@
7-p,__________#_____@@@___@#@#@@_#@@#@#_####@#,#
7-i,__________#_____@@@___@#@#@__#@@#@@_####@#,@
6-i,__________#_____@@@___@#@#@@_#@@#@@_####@#,#
7-i,__________#_____@@@#__@#@#@@_#@@#@@_####@#,@
7-i,__________#_____@@@#@_@#@#@@_#@@#@@_####@#,#
5-i,__________#__#__@@@#@_@#@#@@_#@@#@@_####@#,@
2-i,__________#@_#__@@@#@_@#@#@@_#@@#@@_####@#,#
6-i,__________#@_#_#@@@#@_@#@#@@_#@@#@@_####@#,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
5-i,_______________________________@_____##___,@
1-i,_______________________________@_____##@__,#
4-i,_______________________________@___#_##@__,@
3-i,________________________@______@___#_##@__,#
4-i,________________________@_____#@___#_##@__,@
3-i,_________________@______@_____#@___#_##@__,#
5-i,_________________@_____#@_____#@___#_##@__,@
1-i,_________________@_____#@_____#@@__#_##@__,#
5-i,_________________@_____#@___#_#@@__#_##@__,@
1-i,_________________@_____#@@__#_#@@__#_##@__,#
2-i,_________________@___#_#@@__#_#@@__#_##@__,@
4-p,_________________@___#_#@@__#_#@@__#@##@__,#
3-i,_____________________#_#@@__#_#@@__#@#@@__,@
4-i,________________@____#_#@@__#_#@@__#@#@@__,#
5-i,________________@#___#_#@@__#_#@@__#@#@@__,@
4-i,__________________________________________,#
2-i,______________________________________#___,@
4-i,____________________________________@_#___,#
4-i,_______________________________#____@_#___,@
5-i,________________________@______#____@_#___,#
4-i,________________________@______#____@_##__,@
7-i,_________________@______@______#____@_##__,#
4-i,_________________@______@______#____@_##_#,@
6-i,__________@______@______@______#____@_##_#,#
3-i,__________@______@______@______#____@_####,@
4-i,__________@______@______@______#____@@####,#
3-i,___#______@______@______@______#____@@####,@
3-i,___#______@______@______@_____@#____@@####,#
5-i,___#______@______@_____#@_____@#____@@####,@
6-i,___#______@______@_____#@_____@#@___@@####,#
5-i,___#______@______@_____#@_____@#@#__@@####,@
5-i,___#______@______@_____#@@____@#@#__@@####,#
3-i,___#______@______@#____#@@____@#@#__@@####,@
6-i,___#______@_____@@#____#@@____@#@#__@@####,#
2-i,___#______@_____@@#____#@@#___@#@#__@@####,@
1-i,___#______@_____@@#____#@@#__@@#@#__@@####,#
2-i,___#______@_____@@#____#@@#__@@#@#_#@@####,@
2-i,___#______@_____@@#___@#@@#__@@#@#_#@@####,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
4-i,________________________@______@_____##___,#
4-i,_________________#______@______@_____##___,@
2-i,__________@______#______@______@_____##___,#
5-i,__________@______#______@______@____###___,@
3-i,__________@______#______@______@____###@__,#
5-i,__________@______#______@_____#@____###@__,@
5-i,__________@______#______@_____#@@___###@__,#
3-i,__________@______#______@#____#@@___###@__,@
1-i,__________@______#_____@@#____#@@___###@__,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
3-i,_______________________________@_____##___,@
5-i,______________________________@@_____##___,#
5-i,______________________________@@_____###__,@
7-i,______________________________@@@____###__,#
3-i,______________________________@@@____###_#,@
1-i,_______________________@______@@@____###_#,#
3-i,_______________________@______@@@__#_###_#,@
4-i,________________@______@______@@@__#_###_#,#
2-i,________________@______@#_____@@@__#_###_#,@
4-i,________________@______@#_____@@@__#@###_#,#
6-i,________________@#_____@#_____@@@__#@###_#,@
5-i,________________@#_____@#_____@@@__#@###@#,#
7-i,________________@#_____@##____@@@__#@###@#,@
4-i,________________@#_____@##____@@@_@#@###@#,#
6-i,__________#_____@#_____@##____@@@_@#@###@#,@
3-i,__________#_____@#_____@##____@@@@@#@###@#,#
6-i,_________##_____@#_____@##____@@@@@#@###@#,@
4-p,_________##_____@#_____@##@___@@@@@#@###@#,#
4-i,_________#______@#_____@##@___@#@@@#@#@#@#,@
5-i,_________#@_____@#_____@##@___@#@@@#@#@#@#,#
6-i,_________#@_____@##____@##@___@#@@@#@#@#@#,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
2-i,________________________@______@_____##___,#
4-i,________________________@______@____###___,@
5-i,_________________@______@______@____###___,#
2-i,_________________@______@______@____####__,@
3-i,_________________@______@____@_@____####__,#
1-i,_________________@______@____@#@____####__,@
3-i,_________________@______@____@#@___@####__,#
6-i,_________________@_____#@____@#@___@####__,@
3-i,_________________@_____#@____@#@___@####@_,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
4-i,________________________@______@_____##___,#
5-i,_________________#______@______@_____##___,@
1-i,_________________#______@______@_____##@__,#
5-i,_________________#______@______@___#_##@__,@
3-i,_________________#______@______@@__#_##@__,#
5-i,_________________#______@_____#@@__#_##@__,@
5-i,_________________#______@@____#@@__#_##@__,#
6-i,_________________##_____@@____#@@__#_##@__,@
3-i,_________________##_____@@____#@@__#_##@@_,#
3-i,_________________##____#@@____#@@__#_##@@_,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
5-i,_______________________________@_____##___,@
1-i,_______________________________@_____##@__,#
5-i,_______________________________@___#_##@__,@
3-i,_______________________________@@__#_##@__,#
5-i,______________________________#@@__#_##@__,@
5-i,_________________________@____#@@__#_##@__,#
4-i,__________________#______@____#@@__#_##@__,@
4-i,__________________#_____@@____#@@__#_##@__,#
3-i,_________________##_____@@____#@@__#_##@__,@
2-i,_________________##____@@@____#@@__#_##@__,#
2-i,_________________##____@@@____#@@__####@__,@
1-i,_________________##____@@@___@#@@__####@__,#
3-i,_________________##____@@@__#@#@@__####@__,@
1-i,________________@##____@@@__#@#@@__####@__,#
1-i,________________@##__#_@@@__#@#@@__####@__,@
5-i,______________@_@##__#_@@@__#@#@@__####@__,#
2-i,___________#__@_@##__#_@@@__#@#@@__####@__,@
6-i,___________#__@_@##__#@@@@__#@#@@__####@__,#
5-i,___________#__@_@##__#@@@@__#@#@@__####@#_,@
7-i,____@______#__@_@##__#@@@@__#@#@@__####@#_,#
7-i,____@______#__@_@##__#@@@@__#@#@@__####@##,@
6-i,____@______#__@_@##__#@@@@__#@#@@_@####@##,#
7-i,____@______#__@_@##__#@@@@__#@#@@#@####@##,@
6-i,____@______#__@_@##__#@@@@_@#@#@@#@####@##,#
6-i,____@______#__@_@##__#@@@@#@#@#@@#@####@##,@
7-i,____@______#__@_@##@_#@@@@#@#@#@@#@####@##,#
2-i,____@______#__@_@##@##@@@@#@#@#@@#@####@##,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
1-i,________________________@______@_____##___,#
4-i,________________________@______@___#_##___,@
5-i,_________________@______@______@___#_##___,#
2-i,_________________@______@______@___#_###__,@
4-i,_________________@______@______@___#@###__,#
2-i,__________#______@______@______@___#@###__,@
5-i,__________#______@______@____@_@___#@###__,#
2-i,__________#______@______@____@_@#__#@###__,@
2-i,__________#______@____@_@____@_@#__#@###__,#
5-i,__________#____#_@____@_@____@_@#__#@###__,@
7-i,__________#____#_@____@_@@___@_@#__#@###__,#
3-i,__________#____#_@____@_@@___@_@#__#@###_#,@
6-i,__________#____#_@____@_@@___@@@#__#@###_#,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
5-i,_______________________________@_____##___,@
1-i,_______________________________@_____##@__,#
4-i,_______________________________@___#_##@__,@
1-i,________________________@______@___#_##@__,#
4-i,________________________@___#__@___#_##@__,@
4-i,_________________@______@___#__@___#_##@__,#
5-i,__________#______@______@___#__@___#_##@__,@
1-i,__________#______@______@___#__@@__#_##@__,#
3-i,__________#______@___#__@___#__@@__#_##@__,@
7-i,__________#______@___#__@___#_@@@__#_##@__,#
5-i,__________#______@___#__@___#_@@@__#_##@_#,@
3-i,__________#______@___#__@@__#_@@@__#_##@_#,#
3-i,__________#______@___#_#@@__#_@@@__#_##@_#,@
3-i,__________#_____@@___#_#@@__#_@@@__#_##@_#,#
1-i,_________##_____@@___#_#@@__#_@@@__#_##@_#,@
2-i,_________##___@_@@___#_#@@__#_@@@__#_##@_#,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
4-i,_________________@______@______@_____###__,#
5-i,__________#______@______@______@_____###__,@
7-i,__________#______@______@______@@____###__,#
3-i,__________#______@______@______@@____###_#,@
1-i,__________#______@______@_____@@@____###_#,#
3-i,__________#______@______@_____@@@__#_###_#,@
3-i,__________#______@_____@@_____@@@__#_###_#,#
2-i,__________#_____#@_____@@_____@@@__#_###_#,@
1-i,__________#_____#@_____@@_____@@@__#@###_#,#
6-i,__________#_____#@_____@@___#_@@@__#@###_#,@
1-i,__________#_____#@_____@@___#_@@@__#@###@#,#
5-i,__________#_____#@___#_@@___#_@@@__#@###@#,@
2-i,__________#_____#@___#_@@@__#_@@@__#@###@#,#
1-i,__________#_____#@___#_@@@__##@@@__#@###@#,@
2-i,__________#___@_#@___#_@@@__##@@@__#@###@#,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
